treenumber,treatment,osc,fec,malec,nymphc,total_cmbs,timepoint
55,both,18,7,118,1049,1192,final
56,sdb,22,33,36,314,405,final
57,sdb_netted,3,2,7,361,373,final
58,untreated,22,83,212,190,507,final
59,lw_netted,2,0,4,249,255,final
60,both_netted,39,24,114,771,948,final
61,untreated_netted,0,27,31,280,338,final
62,lw_netted,61,24,124,1044,1253,final
1177,clean,0,1,0,0,1,final
63,lw_netted,2,27,121,125,275,final
64,sdb_netted,0,2,23,50,75,final
65,both_netted,0,0,0,147,147,final
66,lw ,4,2,1,75,82,final
67,both_netted,10,62,1013,2325,3410,final
68,clean,0,0,0,0,0,final
69,clean,0,0,0,0,0,final
70,lw ,21,8,116,445,590,final
71,both_netted,0,57,459,698,1214,final
72,lw_netted,11,5,103,1684,1803,final
73,both,17,136,179,459,791,final
74,both_netted,4,9,9,147,169,final
75,lw ,10,16,285,1218,1529,final
76,clean,0,0,0,0,0,final
77,both,77,75,160,1086,1398,final
78,sdb_netted,2,4,33,215,254,final
79,lw_netted,57,10,43,1010,1120,final
80,both,4,19,57,59,139,final
81,untreated_netted,6,14,40,20,80,final
82,both_netted,1,24,160,740,925,final
83,untreated,50,11,58,311,430,final
84,both,3,3,3,70,79,final
85,lw_netted,5,48,740,933,1726,final
86,lw ,0,36,88,222,346,final
87,sdb,20,33,49,414,516,final
88,untreated,13,45,83,258,399,final
89,sdb_netted,0,0,5,9,14,final
90,sdb_netted,0,0,5,47,52,final
91,lw_netted,13,25,45,245,328,final
92,untreated_netted,14,0,15,309,338,final
93,sdb_netted,11,0,3,11,25,final
94,sdb,0,0,65,565,630,final
95,sdb,0,1,0,0,1,final
1466,clean,0,0,0,0,0,final
97,untreated_netted,16,6,80,82,184,final
98,sdb_netted,0,0,0,0,0,final
99,lw ,11,94,230,361,696,final
100,sdb,2,25,205,873,1105,final
101,sdb_netted,1,0,0,78,79,final
102,sdb_netted,2,0,31,342,375,final
103,sdb_netted,0,0,0,154,154,final
104,both,26,12,222,1139,1399,final
105,both,4,13,36,17,70,final
106,sdb_netted,0,0,10,50,60,final
107,sdb,5,87,486,187,765,final
108,both_netted,6,4,17,859,886,final
109,lw_netted,2,0,6,47,55,final
110,lw ,24,22,173,1193,1412,final
111,clean,0,0,0,0,0,final
112,clean,0,1,0,0,1,final
113,both_netted,1,5,95,329,430,final
114,untreated_netted,0,4,124,497,625,final
115,untreated_netted,3,56,286,315,660,final
116,untreated,1,85,215,282,583,final
117,clean,0,0,0,0,0,final
118,both_netted,1,0,1,9,11,final
119,lw ,0,16,151,69,236,final
120,sdb,5,6,131,479,621,final
121,both,3,0,15,219,237,final
122,sdb_netted,2,20,49,51,122,final
123,clean,1,0,0,0,1,final
124,untreated,0,20,74,74,168,final
125,lw_netted,10,0,15,297,322,final
