treenumber,treatment,spad1,spad2,spad3,spad4,spad5,spad_avg
107,sdb,36.8,34,35.8,41.9,39.3,37.56
108,both_netted,24.8,26.5,26.2,31.9,24.5,26.78
109,lw_netted,20.5,17.9,26,12.2,17.8,18.88
110,lw ,23.6,35.6,18.6,20.2,28.8,25.36
111,clean,28.3,10.2,35.9,38.8,35.6,29.76
112,clean,34.2,10.1,32.8,19.7,26.5,24.66
113,both_netted,13.3,19.4,25.6,15.6,31,20.98
114,untreated_netted,32.6,24.1,30.6,34.7,32.8,30.96
115,untreated_netted,18.9,18.5,13.6,16.1,15.8,16.58
116,untreated,26.2,33,24.7,11.3,17.4,22.52
117,clean,21.5,26,23.8,27.4,16.7,23.08
118,both_netted,42.9,19.7,17.1,38.8,28.1,29.32
119,lw ,20.7,18.5,25.5,22.7,18.7,21.22
120,sdb,35.1,15.9,37.7,21,25.8,27.1
121,both,26.3,34.7,25.6,32.3,18.9,27.56
122,sdb_netted,23.7,14.4,27.9,22,30.6,23.72
123,clean,22.4,23.8,28.6,24.9,11.4,22.22
124,untreated,8.9,14.2,23.8,14.5,10.8,14.44
125,lw_netted,19.2,23.7,16.7,14.8,9.5,16.78
